id	tytul	rezyser	kraj	rok_produkcji	budzet	czas	gatunek
1	Odlot	Peter Docter, Bob Peterson	USA	2009	175000000	96	animacja
2	Bękarty wojny	Quentin Tarantino	USA/Niemcy	2009	70000000	153	akcja
3	Gdzie Jest Nemo?	Andrew Stanton , Lee Unkrich	USA	2003	94000000	100	animacja
4	Prosta historia	David Lynch	USA	1999	10000000	112	obyczajowy
5	Życie jest piękne	Roberto Benigni	Włochy	1997	57000000	116	dramat, komedia
6	Kill Bill	Quentin Tarantino	USA	2003	41000000	111	akcja
7	Chłopaki nie płaczą	Olaf Lubaszenko	Polska	2000	0	100	komedia sensacyjna
